organism_id,parent_id,founder_id,generation,birth_step,birth_x,birth_y,lifespan,birth_exploration_tendency,birth_site_fidelity,birth_risk_tolerance,birth_reproduction_timing,death_step,death_cause
36,,36,0,0,30,47,188,0.6451612903225806,0.6129032258064516,0.6129032258064516,0.7419354838709677,99.0,energy
37,,37,0,0,38,31,197,0.8064516129032258,0.5806451612903226,0.6129032258064516,0.7419354838709677,196.0,age
38,,38,0,0,20,49,193,0.9354838709677419,0.3225806451612903,0.25806451612903225,0.0967741935483871,70.0,energy
39,,39,0,0,34,15,172,0.06451612903225806,0.2903225806451613,0.967741935483871,0.7741935483870968,171.0,age
40,,40,0,0,21,93,213,0.3225806451612903,0.03225806451612903,1.0,0.0,212.0,age
41,,41,0,0,63,27,173,0.16129032258064516,0.06451612903225806,0.7419354838709677,0.5806451612903226,172.0,age
42,,42,0,0,18,12,215,0.0967741935483871,0.7741935483870968,0.5483870967741935,0.22580645161290322,160.0,energy
43,,43,0,0,9,56,187,0.5806451612903226,0.25806451612903225,0.03225806451612903,0.45161290322580644,186.0,age
44,,44,0,0,80,22,234,0.7096774193548387,0.9354838709677419,0.7419354838709677,0.45161290322580644,84.0,energy
45,,45,0,0,8,25,179,0.5483870967741935,0.3548387096774194,0.5161290322580645,0.7096774193548387,178.0,age
46,,46,0,0,6,7,223,0.1935483870967742,0.3870967741935484,0.3225806451612903,0.1935483870967742,222.0,age
47,,47,0,0,36,90,210,0.8064516129032258,0.8064516129032258,0.6451612903225806,0.41935483870967744,86.0,energy
48,,48,0,0,10,99,204,1.0,0.16129032258064516,0.03225806451612903,0.6451612903225806,140.0,energy
49,,49,0,0,39,69,166,0.5806451612903226,0.25806451612903225,0.6774193548387096,0.7741935483870968,153.0,energy
50,,50,0,0,83,21,155,0.03225806451612903,0.25806451612903225,0.8709677419354839,0.12903225806451613,154.0,age
51,,51,0,0,11,40,208,0.5161290322580645,0.41935483870967744,0.6774193548387096,0.6774193548387096,190.0,energy
52,,52,0,0,84,62,176,0.1935483870967742,0.0,0.0,0.9354838709677419,175.0,age
53,,53,0,0,86,56,226,0.22580645161290322,0.967741935483871,0.03225806451612903,0.8709677419354839,225.0,age
54,,54,0,0,73,59,238,0.0,0.0,0.06451612903225806,0.16129032258064516,237.0,age
55,,55,0,0,58,99,223,0.3225806451612903,1.0,0.4838709677419355,0.3548387096774194,222.0,age
