seed,founder_id,is_extinct,extinction_step,total_individuals_ever_born,final_alive_count,final_lineage_share,founder_exploration_tendency,founder_site_fidelity,founder_risk_tolerance,founder_reproduction_timing,final_mean_exploration_tendency,final_std_exploration_tendency,final_mean_site_fidelity,final_std_site_fidelity,final_mean_risk_tolerance,final_std_risk_tolerance,final_mean_reproduction_timing,final_std_reproduction_timing,final_mean_generation,final_max_generation
6,2,False,,63833,325,0.3973105134474328,0.5806451612903226,0.0,0.3548387096774194,0.2258064516129032,0.2876426799007444,0.1857378295797462,0.0298759305210918,0.0767595476220988,0.3847146401985111,0.3367138537366582,0.121985111662531,0.1652950880077458,118.24923076923076,127.0
6,3,True,158,1,0,0.0,0.2258064516129032,0.4193548387096774,0.2258064516129032,0.967741935483871,,,,,,,,,,
6,4,True,698,71,0,0.0,0.7096774193548387,0.4193548387096774,0.032258064516129,0.3548387096774194,,,,,,,,,,
6,5,True,1339,249,0,0.0,0.4838709677419355,0.064516129032258,0.6129032258064516,0.6451612903225806,,,,,,,,,,
6,6,True,326,13,0,0.0,0.3225806451612903,0.8064516129032258,0.3870967741935484,0.3870967741935484,,,,,,,,,,
6,7,True,381,49,0,0.0,0.5161290322580645,1.0,0.4838709677419355,0.8064516129032258,,,,,,,,,,
6,8,True,401,18,0,0.0,0.6774193548387096,0.8709677419354839,0.5161290322580645,0.7419354838709677,,,,,,,,,,
6,9,True,162,2,0,0.0,0.0,0.1935483870967742,1.0,0.6451612903225806,,,,,,,,,,
6,10,True,456,89,0,0.0,0.8387096774193549,0.8387096774193549,0.8064516129032258,0.3225806451612903,,,,,,,,,,
6,11,True,287,15,0,0.0,0.3548387096774194,0.5483870967741935,0.7096774193548387,0.2903225806451613,,,,,,,,,,
6,12,True,1593,83,0,0.0,0.1935483870967742,0.1935483870967742,0.7096774193548387,0.4516129032258064,,,,,,,,,,
6,13,True,289,19,0,0.0,0.935483870967742,0.9032258064516128,0.935483870967742,1.0,,,,,,,,,,
6,14,True,3142,715,0,0.0,0.3225806451612903,0.8387096774193549,0.3548387096774194,0.2580645161290322,,,,,,,,,,
6,15,True,3040,240,0,0.0,0.1290322580645161,0.064516129032258,0.2258064516129032,0.1612903225806451,,,,,,,,,,
6,16,True,605,26,0,0.0,0.8064516129032258,0.5806451612903226,0.7741935483870968,0.8387096774193549,,,,,,,,,,
6,17,True,834,271,0,0.0,0.9032258064516128,0.1935483870967742,0.4516129032258064,0.3870967741935484,,,,,,,,,,
6,18,True,94,3,0,0.0,0.7419354838709677,0.4193548387096774,0.7741935483870968,0.032258064516129,,,,,,,,,,
6,19,True,224,17,0,0.0,0.6774193548387096,0.032258064516129,0.6451612903225806,0.4838709677419355,,,,,,,,,,
6,20,True,506,34,0,0.0,0.7741935483870968,0.4516129032258064,0.7419354838709677,0.7741935483870968,,,,,,,,,,
6,21,True,264,13,0,0.0,0.7419354838709677,0.967741935483871,0.5806451612903226,1.0,,,,,,,,,,
6,22,True,43,1,0,0.0,0.3225806451612903,1.0,0.1612903225806451,0.935483870967742,,,,,,,,,,
6,23,True,171,4,0,0.0,0.4516129032258064,0.7741935483870968,0.7096774193548387,0.8387096774193549,,,,,,,,,,
6,24,True,30,1,0,0.0,0.1612903225806451,0.935483870967742,0.064516129032258,0.5161290322580645,,,,,,,,,,
6,25,True,306,22,0,0.0,0.4838709677419355,0.8709677419354839,0.3225806451612903,0.4516129032258064,,,,,,,,,,
6,26,True,506,15,0,0.0,0.1612903225806451,0.3225806451612903,0.6774193548387096,0.3870967741935484,,,,,,,,,,
6,27,True,3351,953,0,0.0,0.5161290322580645,0.064516129032258,0.3548387096774194,0.1612903225806451,,,,,,,,,,
6,28,True,802,90,0,0.0,1.0,0.1290322580645161,0.032258064516129,0.4193548387096774,,,,,,,,,,
6,29,True,2422,440,0,0.0,0.2258064516129032,0.3225806451612903,0.3225806451612903,0.4838709677419355,,,,,,,,,,
6,30,True,197,4,0,0.0,0.4193548387096774,0.064516129032258,0.0,0.7419354838709677,,,,,,,,,,
6,31,True,28,1,0,0.0,0.4516129032258064,0.967741935483871,0.6774193548387096,0.5483870967741935,,,,,,,,,,
6,32,True,26,1,0,0.0,0.3870967741935484,0.6129032258064516,0.1290322580645161,0.7741935483870968,,,,,,,,,,
6,33,True,233,8,0,0.0,0.3870967741935484,0.7419354838709677,0.7096774193548387,0.3870967741935484,,,,,,,,,,
6,34,True,167,1,0,0.0,0.967741935483871,0.2580645161290322,0.5806451612903226,0.8064516129032258,,,,,,,,,,
6,35,True,511,22,0,0.0,0.9032258064516128,0.4838709677419355,0.064516129032258,0.3870967741935484,,,,,,,,,,
6,36,True,475,16,0,0.0,0.2258064516129032,0.7741935483870968,0.4838709677419355,0.2258064516129032,,,,,,,,,,
6,37,True,302,13,0,0.0,0.967741935483871,0.1612903225806451,0.4516129032258064,0.5483870967741935,,,,,,,,,,
6,38,True,873,38,0,0.0,0.3870967741935484,0.6451612903225806,0.8064516129032258,0.3225806451612903,,,,,,,,,,
6,39,True,878,44,0,0.0,0.5483870967741935,0.2903225806451613,0.1290322580645161,0.4516129032258064,,,,,,,,,,
6,40,True,957,233,0,0.0,0.6451612903225806,0.2580645161290322,0.4516129032258064,0.1290322580645161,,,,,,,,,,
6,41,True,502,104,0,0.0,0.7096774193548387,0.9032258064516128,0.032258064516129,0.1612903225806451,,,,,,,,,,
