founder_id,is_extinct,extinction_step,total_individuals_ever_born,final_alive_count,final_lineage_share,founder_exploration_tendency,founder_site_fidelity,founder_risk_tolerance,founder_reproduction_timing,founder_gene_exchange_probability,founder_gene_exchange_fraction,final_mean_exploration_tendency,final_std_exploration_tendency,final_mean_site_fidelity,final_std_site_fidelity,final_mean_risk_tolerance,final_std_risk_tolerance,final_mean_reproduction_timing,final_std_reproduction_timing,final_mean_gene_exchange_probability,final_std_gene_exchange_probability,final_mean_gene_exchange_fraction,final_std_gene_exchange_fraction,final_mean_generation,final_max_generation
33,False,,13,12,0.013888888888888888,0.95,0.0,0.95,0.9,0.25,0.05,0.9458333333333332,0.013819269959814149,0.004166666666666667,0.013819269959814168,0.9416666666666664,0.01863389981249822,0.9,0.0,0.25,0.0,0.05000000000000001,6.938893903907228e-18,1.5833333333333333,3
34,True,59,1,0,0.0,0.95,1.0,0.2,0.85,0.25,0.075,,,,,,,,,,,,,,
35,False,,9,6,0.006944444444444444,0.3,0.6,0.45,0.8,0.8,0.375,0.3,0.02886751345948128,0.6166666666666666,0.03726779962499649,0.4416666666666667,0.018633899812498245,0.7083333333333334,0.13667682889047272,0.7583333333333334,0.07312470322826771,0.37083333333333335,0.009316949906249133,1.3333333333333333,2
36,False,,5,4,0.004629629629629629,0.0,0.55,0.3,0.3,0.7,0.075,0.0,0.0,0.575,0.024999999999999967,0.3125,0.021650635094610963,0.2875,0.021650635094610963,0.6749999999999999,0.043301270189221926,0.075,0.0,1.25,2
37,False,,12,7,0.008101851851851851,0.85,0.5,0.55,0.85,0.3,0.5,0.7999999999999999,0.1035098339013531,0.45714285714285713,0.07284313590846836,0.5357142857142857,0.0225876975726313,0.7714285714285715,0.1410601261295107,0.2785714285714286,0.05248906591678238,0.4928571428571429,0.01129384878631565,1.1428571428571428,2
38,False,,7,7,0.008101851851851851,0.55,0.75,0.05,0.95,0.65,0.25,0.5571428571428572,0.017496355305594107,0.7428571428571429,0.04164965639175215,0.07857142857142858,0.06998542122237653,0.9285714285714286,0.036421567954234166,0.6571428571428573,0.017496355305594107,0.2535714285714286,0.020824828195876065,1.1428571428571428,2
39,False,,19,12,0.013888888888888888,0.15,0.9,0.45,0.3,0.95,0.35,0.14166666666666664,0.018633899812498245,0.9,0.0,0.44166666666666665,0.018633899812498245,0.29999999999999993,5.551115123125783e-17,0.9499999999999997,2.220446049250313e-16,0.35000000000000003,5.551115123125783e-17,2.8333333333333335,4
40,False,,21,15,0.017361111111111112,0.75,0.15,0.55,0.6,0.25,0.375,0.75,0.0,0.14999999999999997,2.7755575615628914e-17,0.5333333333333333,0.023570226039551608,0.5999999999999999,1.1102230246251565e-16,0.25,0.0,0.375,0.0,1.9333333333333333,3
41,False,,35,19,0.02199074074074074,0.55,0.55,1.0,0.25,0.95,0.075,0.531578947368421,0.04356038251907065,0.5526315789473685,0.02551410451271752,0.9078947368421053,0.09768795364879254,0.24473684210526317,0.015344610249592891,0.9078947368421053,0.043719072962726695,0.07631578947368421,0.005582421956735904,2.8421052631578947,5
42,False,,3,3,0.003472222222222222,0.25,0.65,0.2,0.95,0.85,0.225,0.25,0.0,0.65,0.0,0.20000000000000004,2.7755575615628914e-17,0.9499999999999998,1.1102230246251565e-16,0.85,0.0,0.225,0.0,0.6666666666666666,1
