founder_id,is_extinct,extinction_step,total_individuals_ever_born,final_alive_count,final_lineage_share,founder_exploration_tendency,founder_site_fidelity,founder_risk_tolerance,founder_reproduction_timing,founder_gene_exchange_probability,founder_gene_exchange_fraction,final_mean_exploration_tendency,final_std_exploration_tendency,final_mean_site_fidelity,final_std_site_fidelity,final_mean_risk_tolerance,final_std_risk_tolerance,final_mean_reproduction_timing,final_std_reproduction_timing,final_mean_gene_exchange_probability,final_std_gene_exchange_probability,final_mean_gene_exchange_fraction,final_std_gene_exchange_fraction,final_mean_generation,final_max_generation
74,True,28,1,0,0.0,0.65,0.1,0.2,0.7,0.0,0.025,,,,,,,,,,,,,,
75,True,72,1,0,0.0,0.45,1.0,0.1,0.4,0.2,0.15,,,,,,,,,,,,,,
76,True,63,1,0,0.0,0.0,0.65,0.5,0.3,0.0,0.2,,,,,,,,,,,,,,
77,True,59,2,0,0.0,0.2,0.7,0.0,0.0,0.1,0.4,,,,,,,,,,,,,,
78,True,21,1,0,0.0,0.55,0.45,1.0,0.8,0.75,0.4,,,,,,,,,,,,,,
79,True,2639,277,0,0.0,1.0,0.7,0.0,0.3,0.0,0.375,,,,,,,,,,,,,,
80,True,56,1,0,0.0,1.0,1.0,0.9,0.05,0.5,0.175,,,,,,,,,,,,,,
81,True,85,2,0,0.0,0.55,0.0,0.7,0.15,0.0,0.0,,,,,,,,,,,,,,
82,True,84,1,0,0.0,0.95,0.15,0.25,0.75,0.65,0.25,,,,,,,,,,,,,,
83,True,586,12,0,0.0,0.9,0.85,0.7,0.7,0.1,0.275,,,,,,,,,,,,,,
84,True,96,1,0,0.0,0.45,0.75,0.05,0.45,0.4,0.35,,,,,,,,,,,,,,
85,True,3829,3421,0,0.0,0.95,0.1,0.95,0.25,0.05,0.175,,,,,,,,,,,,,,
86,True,34,1,0,0.0,0.4,0.5,0.9,0.7,0.8,0.4,,,,,,,,,,,,,,
87,True,23,1,0,0.0,0.4,0.9,0.0,0.25,0.55,0.075,,,,,,,,,,,,,,
88,True,108,1,0,0.0,0.6,0.7,0.35,0.95,0.85,0.275,,,,,,,,,,,,,,
89,True,26,1,0,0.0,0.8,0.85,0.85,0.7,0.8,0.2,,,,,,,,,,,,,,
90,True,54,2,0,0.0,0.65,0.0,0.0,0.0,0.6,0.375,,,,,,,,,,,,,,
91,True,60,1,0,0.0,0.35,0.6,0.95,1.0,0.35,0.1,,,,,,,,,,,,,,
92,True,43,1,0,0.0,0.7,0.65,0.6,0.2,0.55,0.225,,,,,,,,,,,,,,
93,True,14,1,0,0.0,0.95,0.15,1.0,0.3,0.7,0.05,,,,,,,,,,,,,,
94,True,79,2,0,0.0,0.4,0.4,0.15,0.05,0.1,0.025,,,,,,,,,,,,,,
95,False,,7641,45,0.07475083056478406,0.95,0.6,0.5,0.3,0.35,0.125,0.5733333333333334,0.051207638319124046,0.5811111111111111,0.04382907316292447,0.5177777777777778,0.05180685878611008,0.23777777777777775,0.03520662115056635,0.4644444444444445,0.049014988889139514,0.14166666666666664,0.03248931448269654,81.13333333333334,87
96,True,153,4,0,0.0,0.65,0.4,0.9,1.0,0.9,0.425,,,,,,,,,,,,,,
97,True,63,1,0,0.0,0.65,0.4,0.25,0.45,0.35,0.125,,,,,,,,,,,,,,
98,True,61,1,0,0.0,0.9,0.15,0.35,0.0,1.0,0.35,,,,,,,,,,,,,,
99,True,33,1,0,0.0,0.05,0.55,0.25,0.8,0.15,0.4,,,,,,,,,,,,,,
