founder_id,is_extinct,extinction_step,total_individuals_ever_born,final_alive_count,final_lineage_share,founder_exploration_tendency,founder_site_fidelity,founder_risk_tolerance,founder_reproduction_timing,final_mean_exploration_tendency,final_std_exploration_tendency,final_mean_site_fidelity,final_std_site_fidelity,final_mean_risk_tolerance,final_std_risk_tolerance,final_mean_reproduction_timing,final_std_reproduction_timing,final_mean_generation,final_max_generation
36,True,288,11,0,0.0,0.8387096774193549,0.6451612903225806,0.7741935483870968,0.3548387096774194,,,,,,,,,,
37,True,147,10,0,0.0,0.9032258064516129,0.0967741935483871,0.5806451612903226,0.7741935483870968,,,,,,,,,,
38,True,86,6,0,0.0,0.3225806451612903,0.6774193548387096,0.8387096774193549,0.06451612903225806,,,,,,,,,,
39,True,110,9,0,0.0,0.2903225806451613,0.45161290322580644,0.3225806451612903,0.16129032258064516,,,,,,,,,,
40,True,210,6,0,0.0,0.12903225806451613,1.0,0.3225806451612903,0.25806451612903225,,,,,,,,,,
41,True,77,1,0,0.0,0.1935483870967742,0.6129032258064516,0.16129032258064516,0.1935483870967742,,,,,,,,,,
42,True,38,1,0,0.0,0.9354838709677419,0.5161290322580645,0.5483870967741935,0.03225806451612903,,,,,,,,,,
43,True,74,8,0,0.0,0.8064516129032258,0.3548387096774194,0.5806451612903226,0.1935483870967742,,,,,,,,,,
44,True,79,1,0,0.0,0.0967741935483871,0.3870967741935484,0.5806451612903226,0.25806451612903225,,,,,,,,,,
45,True,129,10,0,0.0,0.8064516129032258,0.7419354838709677,0.22580645161290322,0.7096774193548387,,,,,,,,,,
46,True,148,30,0,0.0,0.3870967741935484,0.03225806451612903,0.6129032258064516,0.16129032258064516,,,,,,,,,,
47,True,164,5,0,0.0,0.41935483870967744,0.967741935483871,0.7096774193548387,1.0,,,,,,,,,,
48,True,94,8,0,0.0,0.7096774193548387,0.3225806451612903,0.45161290322580644,0.0,,,,,,,,,,
49,True,82,2,0,0.0,0.3548387096774194,0.41935483870967744,0.6774193548387096,0.16129032258064516,,,,,,,,,,
50,True,98,5,0,0.0,0.9354838709677419,0.22580645161290322,0.0967741935483871,0.5806451612903226,,,,,,,,,,
51,False,,669,168,0.13053613053613053,0.06451612903225806,0.7096774193548387,0.8064516129032258,0.0,0.12077572964669736,0.15410239288476063,0.7273425499231952,0.09143011474012513,0.7551843317972351,0.17634538644837014,0.041666666666666664,0.1086740362990868,9.952380952380953,14
52,True,179,29,0,0.0,0.3225806451612903,0.7419354838709677,0.5161290322580645,0.3548387096774194,,,,,,,,,,
53,True,50,2,0,0.0,0.5161290322580645,0.4838709677419355,0.7096774193548387,0.0967741935483871,,,,,,,,,,
54,True,54,4,0,0.0,0.8387096774193549,0.7741935483870968,0.8064516129032258,0.12903225806451613,,,,,,,,,,
55,True,141,4,0,0.0,0.7741935483870968,1.0,0.16129032258064516,0.06451612903225806,,,,,,,,,,
56,True,231,2,0,0.0,0.967741935483871,0.03225806451612903,0.9032258064516129,0.8387096774193549,,,,,,,,,,
57,True,82,14,0,0.0,1.0,0.45161290322580644,0.3870967741935484,0.0,,,,,,,,,,
58,True,64,5,0,0.0,0.8387096774193549,0.3548387096774194,0.9032258064516129,0.25806451612903225,,,,,,,,,,
59,True,146,6,0,0.0,0.41935483870967744,0.8064516129032258,0.8387096774193549,0.5161290322580645,,,,,,,,,,
60,False,,950,120,0.09324009324009325,0.22580645161290322,0.0967741935483871,0.3870967741935484,0.6774193548387096,0.22499999999999995,0.08123040333059706,0.1247311827956989,0.11228195683618594,0.4841397849462365,0.22343205686032647,0.5981182795698925,0.20700932035053357,8.675,13
61,False,,708,115,0.08935508935508936,0.7419354838709677,0.0967741935483871,0.9032258064516129,0.5483870967741935,0.6861150070126228,0.11496390256908327,0.16381486676016832,0.1257037611665053,0.8622720897615707,0.12191609477482383,0.3371669004207573,0.23903330771312745,9.565217391304348,14
62,True,132,3,0,0.0,0.06451612903225806,0.03225806451612903,0.5161290322580645,0.9354838709677419,,,,,,,,,,
63,True,495,43,0,0.0,0.8709677419354839,0.41935483870967744,0.3548387096774194,0.967741935483871,,,,,,,,,,
64,False,,707,40,0.03108003108003108,0.3225806451612903,0.0,0.0967741935483871,0.2903225806451613,0.26129032258064516,0.14637485554243132,0.04193548387096774,0.08661755859417776,0.1975806451612903,0.2252513337840379,0.2645161290322581,0.20957814026813917,9.95,12
65,True,90,4,0,0.0,0.5161290322580645,0.4838709677419355,0.6129032258064516,0.4838709677419355,,,,,,,,,,
66,True,196,17,0,0.0,0.25806451612903225,0.22580645161290322,0.5483870967741935,0.45161290322580644,,,,,,,,,,
67,True,66,1,0,0.0,0.1935483870967742,0.45161290322580644,0.6129032258064516,0.25806451612903225,,,,,,,,,,
68,True,78,4,0,0.0,0.5483870967741935,0.5483870967741935,0.8064516129032258,0.22580645161290322,,,,,,,,,,
69,True,193,8,0,0.0,0.5161290322580645,0.22580645161290322,0.41935483870967744,0.9032258064516129,,,,,,,,,,
70,True,182,5,0,0.0,0.8387096774193549,0.0967741935483871,0.7096774193548387,0.8387096774193549,,,,,,,,,,
71,True,145,14,0,0.0,0.7741935483870968,0.6129032258064516,0.16129032258064516,0.967741935483871,,,,,,,,,,
72,True,119,6,0,0.0,0.967741935483871,0.6451612903225806,0.9354838709677419,0.9032258064516129,,,,,,,,,,
73,False,,1219,193,0.14996114996114995,0.3548387096774194,0.967741935483871,0.12903225806451613,0.06451612903225806,0.3349490222296508,0.11445359781769973,0.8184857095102791,0.22309370600820144,0.21026241016212602,0.13854664959600285,0.06986461641317064,0.07526582734311212,9.953367875647668,14
74,True,79,4,0,0.0,1.0,0.5806451612903226,0.9032258064516129,0.25806451612903225,,,,,,,,,,
75,False,,121,1,0.000777000777000777,0.45161290322580644,0.9354838709677419,0.16129032258064516,0.3548387096774194,0.45161290322580644,0.0,0.5483870967741935,0.0,0.16129032258064516,0.0,0.3548387096774194,0.0,10.0,10
76,True,90,3,0,0.0,0.7096774193548387,0.8709677419354839,0.6451612903225806,0.3548387096774194,,,,,,,,,,
77,True,86,6,0,0.0,0.3870967741935484,0.4838709677419355,0.4838709677419355,0.3870967741935484,,,,,,,,,,
78,True,68,3,0,0.0,0.3548387096774194,0.41935483870967744,0.8064516129032258,0.0967741935483871,,,,,,,,,,
79,True,102,4,0,0.0,0.6774193548387096,0.45161290322580644,0.2903225806451613,0.45161290322580644,,,,,,,,,,
80,True,120,7,0,0.0,0.3548387096774194,0.7096774193548387,0.9354838709677419,0.22580645161290322,,,,,,,,,,
81,True,71,4,0,0.0,0.9354838709677419,0.3870967741935484,0.5483870967741935,0.9354838709677419,,,,,,,,,,
82,True,111,5,0,0.0,0.7419354838709677,0.16129032258064516,0.0,0.9354838709677419,,,,,,,,,,
83,True,95,5,0,0.0,0.0967741935483871,0.6774193548387096,0.7096774193548387,0.7419354838709677,,,,,,,,,,
84,True,61,1,0,0.0,0.06451612903225806,0.16129032258064516,0.16129032258064516,0.3870967741935484,,,,,,,,,,
85,True,48,1,0,0.0,0.22580645161290322,0.8709677419354839,0.3548387096774194,0.25806451612903225,,,,,,,,,,
86,True,81,7,0,0.0,0.7741935483870968,0.5483870967741935,0.8387096774193549,0.25806451612903225,,,,,,,,,,
87,False,,490,71,0.05516705516705517,0.8387096774193549,0.16129032258064516,0.2903225806451613,0.8064516129032258,0.8132666969559289,0.10745476055679773,0.18991367560199918,0.09260270184087302,0.2985006815084052,0.06284018319680183,0.38755111313039514,0.19896207040729563,8.71830985915493,13
88,True,157,11,0,0.0,0.1935483870967742,0.25806451612903225,0.0,0.4838709677419355,,,,,,,,,,
89,True,50,3,0,0.0,0.8064516129032258,0.9032258064516129,0.2903225806451613,0.03225806451612903,,,,,,,,,,
90,True,193,23,0,0.0,0.16129032258064516,0.03225806451612903,0.5161290322580645,0.0967741935483871,,,,,,,,,,
91,True,113,2,0,0.0,0.12903225806451613,0.22580645161290322,0.3225806451612903,0.0,,,,,,,,,,
92,False,,421,124,0.09634809634809635,0.5483870967741935,0.06451612903225806,0.25806451612903225,0.0967741935483871,0.5483870967741935,0.11802703782985605,0.09937565036420394,0.1280265681734135,0.26560874089490105,0.07521899940373498,0.127471383975026,0.1149184530851436,8.82258064516129,17
93,True,61,1,0,0.0,0.03225806451612903,0.3870967741935484,0.3225806451612903,0.7741935483870968,,,,,,,,,,
94,True,126,8,0,0.0,0.3870967741935484,0.7096774193548387,0.7096774193548387,0.41935483870967744,,,,,,,,,,
95,True,160,12,0,0.0,0.3225806451612903,0.6774193548387096,0.25806451612903225,0.45161290322580644,,,,,,,,,,
96,True,135,20,0,0.0,0.7419354838709677,0.22580645161290322,0.6774193548387096,0.3225806451612903,,,,,,,,,,
97,True,100,5,0,0.0,0.22580645161290322,0.45161290322580644,0.7419354838709677,0.5483870967741935,,,,,,,,,,
98,True,68,3,0,0.0,0.967741935483871,0.41935483870967744,0.8709677419354839,0.3548387096774194,,,,,,,,,,
99,True,62,4,0,0.0,0.8064516129032258,0.1935483870967742,1.0,0.1935483870967742,,,,,,,,,,
