step,population_size,food_count,average_energy,average_age,birth_count,death_count,move_count,move_rate,eat_count,eat_rate,average_exploration_tendency,min_exploration_tendency,max_exploration_tendency,average_site_fidelity,min_site_fidelity,max_site_fidelity,average_risk_tolerance,min_risk_tolerance,max_risk_tolerance,average_reproduction_timing,min_reproduction_timing,max_reproduction_timing
12,102,2884,12.180392156862748,12.607843137254902,1,0,53,0.5247524752475248,20,0.19801980198019803,0.46078431372549017,0.0,0.967741935483871,0.5154965211891208,0.0,1.0,0.45983554712207464,0.0,1.0,0.4794433902593296,0.0,0.967741935483871
13,101,3064,12.57029702970297,13.603960396039604,0,1,63,0.6176470588235294,20,0.19607843137254902,0.4576812519961674,0.0,0.967741935483871,0.5122963909294155,0.0,1.0,0.45576493133184287,0.0,1.0,0.4809964867454487,0.0,0.967741935483871
14,102,3238,12.91666666666667,14.46078431372549,1,0,67,0.6633663366336634,26,0.25742574257425743,0.45951929158760274,0.0,0.967741935483871,0.5079063883617964,0.0,1.0,0.45698924731182794,0.0,1.0,0.4769133459835547,0.0,0.967741935483871
15,104,3416,12.922115384615385,15.009615384615385,3,1,59,0.5784313725490197,22,0.21568627450980393,0.45285359801488834,0.0,0.967741935483871,0.5102357320099256,0.0,1.0,0.4556451612903226,0.0,1.0,0.47425558312655086,0.0,0.967741935483871
16,105,3593,13.12857142857143,15.857142857142858,1,0,65,0.625,23,0.22115384615384615,0.4525345622119816,0.0,0.967741935483871,0.5118279569892473,0.0,1.0,0.45837173579109064,0.0,1.0,0.46973886328725034,0.0,0.967741935483871
17,107,3759,13.654205607476635,16.542056074766354,2,0,67,0.638095238095238,34,0.3238095238095238,0.4606572203798613,0.0,0.967741935483871,0.514621646065722,0.0,1.0,0.4588483569490503,0.0,1.0,0.46668676514923124,0.0,0.967741935483871
18,109,3926,14.075229357798166,17.045871559633028,3,1,67,0.6261682242990654,33,0.308411214953271,0.4596034329683338,0.0,0.967741935483871,0.520864160994377,0.0,1.0,0.4631547795205682,0.0,1.0,0.46641018052678307,0.0,0.967741935483871
19,112,4082,14.770535714285714,17.5625,3,0,74,0.6788990825688074,44,0.4036697247706422,0.4585253456221198,0.0,0.967741935483871,0.5178571428571429,0.0,1.0,0.464573732718894,0.0,1.0,0.4631336405529954,0.0,0.967741935483871
20,113,4239,15.613274336283185,18.02654867256637,3,2,79,0.7053571428571429,43,0.38392857142857145,0.4576077647730517,0.0,0.967741935483871,0.5189837282329431,0.0,1.0,0.47473594062232377,0.0,1.0,0.4687410790750785,0.0,0.967741935483871
21,119,4388,15.907563025210083,18.067226890756302,6,0,85,0.7522123893805309,51,0.45132743362831856,0.45486581729465975,0.0,0.967741935483871,0.5215505557061534,0.0,1.0,0.4789915966386555,0.0,1.0,0.4529682840878287,0.0,0.967741935483871
22,121,4553,16.248760330578513,18.75206611570248,2,0,80,0.6722689075630253,35,0.29411764705882354,0.46121034390829113,0.0,0.967741935483871,0.5195947747267395,0.0,1.0,0.4830711810183951,0.0,1.0,0.45347907224740064,0.0,0.967741935483871
23,125,4704,16.699199999999998,18.928,5,1,87,0.71900826446281,49,0.4049586776859504,0.4498064516129032,0.0,0.967741935483871,0.5256774193548387,0.0,1.0,0.4766451612903226,0.0,1.0,0.4570322580645161,0.0,0.967741935483871
24,135,4850,16.295555555555552,18.451851851851853,10,0,95,0.76,54,0.432,0.45185185185185184,0.0,0.967741935483871,0.5268817204301075,0.0,1.0,0.48339307048984476,0.0,1.0,0.44994026284348865,0.0,0.967741935483871
